id,entry,complete_patent,patent_id,name,location,description,date
1,trolhje wässriger Flüssigkeiten. 14/9 05. — A 2526.,1,NaN,NaN,NaN,trolhje wässriger Flüssigkeiten.,14/9 05
2,"188139. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Darstellung haltbarer wasserfreier Hydrosulfite; Zus. z. Pat. 171991. 30/7 05. — A 2526.",1,188139,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh.,Verfahren zur Darstellung haltbarer wasserfreier Hydrosulfite,30/7 05
3,"188188. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Darstellung von reinen Nitriten aus nitrosen Gasen. 27/1 06. — A 2566.",1,188188,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh.,Verfahren zur Darstellung von reinen Nitriten aus nitrosen Gasen.,27/1 06
4,"188524. Chemische Fabrik Griesheim-Elektron, Frankfurt a/M. Verfahren zur Darstellung von beständigem, festem Calciumhypochlorit. 27/4 06. — A 2628.",1,188524,Chemische Fabrik Griesheim-Elektron,Frankfurt a/M,"Verfahren zur Darstellung von beständigem, festem Calciumhypochlorit.",27/4 06
5,"188569. Merck, E., Fa., Darmstadt. Verfahren zur Darstellung von saurem Natriumpercarbonat. 3/2 05. — A 2526.",1,188569,"Merck, E., Fa.",Darmstadt,Verfahren zur Darstellung von saurem Natriumpercarbonat.,3/2 05
6,"188570. Electrochemische Werke, G. m. b. H., Bitterfeld. Verfahren zur Herstellung von Calciumhydrür. 20/5 05. — A 2526.",1,188570,"Electrochemische Werke, G. m. b. H.",Bitterfeld,Verfahren zur Herstellung von Calciumhydrür.,20/5 05
7,"188901. Stange, L., Aachen, Alsenstr. 44. Verfahren und Vorrichtung zur Konzentration von Schwefelsäure. 27/4 05. — A 2628.",1,188901,"Stange, L.","Aachen, Alsenstr. 44",Verfahren und Vorrichtung zur Konzentration von Schwefelsäure.,27/4 05
8,"189088. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Darstellung haltbarer Hydrosulfite; Zus. z. Pat. 171362. 21/9 06. — A 2578.",1,189088,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh.,Verfahren zur Darstellung haltbarer Hydrosulfite,21/9 06
9,"189224. Hartenstein, Herman Lewis, Constantine, Michigan, V. St. A.; Vertr.: E. v. Nießen, Pat.-Anw., Berlin W. 50. Verfahren zur Herstellung von Carbid. 1/5 06. — A 2743.",1,189224,"Hartenstein, Herman Lewis","Constantine, Michigan, V. St. A.",Verfahren zur Herstellung von Carbid.,1/5 06
10,"189320. von Seemen, Erich, Paris; Vertr.: H. Neubart, Pat.-Anw., Berlin S.W. 61. Verfahren zur Herstellung von für die keramische Industrie sowie als Füllmittel für Farben udgl. geeignetem Magnesiumsilikat. 12/9 06. — A 2818.",1,189320,"von Seemen, Erich",Paris,Verfahren zur Herstellung von für die keramische Industrie sowie als Füllmittel für Farben udgl. geeignetem Magnesiumsilikat.,12/9 06
